[1029/114334:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/114334:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/114334:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/114334:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/114334:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/114334:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/114334:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/114334:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/114334:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/114334:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/114334:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/114334:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/114334:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/114334:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/114334:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/114334:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/114334:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/114334:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/114335:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/114335:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/114335:WARNING:resource_bundle.cc(307)] locale_file_path.empty() for locale 
[1029/114335:ERROR:main_delegate.cc(724)] Could not load locale pak for en-US
[1029/114342:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/114342:ERROR:content_client.cc(332)] No localized string available for id 18908
[1029/114351:ERROR:ipc_channel_win.cc(519)] pipe error: 232
[1029/114641:WARNING:resource_bundle.cc(307)] locale_file_path.empty() for locale 
[1029/114641:ERROR:main_delegate.cc(724)] Could not load locale pak for en-US
[1029/114641:ERROR:network_change_notifier_win.cc(153)] WSALookupServiceBegin failed with: 1722
[1029/114641:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/114641:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/114641:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/114641:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/114641:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/114641:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/114641:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/114641:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/114641:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/114641:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/114641:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/114641:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/114641:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/114641:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/114641:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/114641:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/114641:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/114641:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/114641:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/114641:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/114641:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/114641:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/114641:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/114641:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/114641:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/114641:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/114641:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/114641:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/114641:WARNING:resource_bundle.cc(503)] locale resources are not loaded
[1029/114641:WARNING:resource_bundle.cc(503)] locale resources are not loaded
